name,date
H5N1|A/mute-swan/Croatia/3_24VIR670-9/2024|EPI3093143|2024-01-09,2024.1.9
H5N1|A/Greylag_Goose/Netherlands/24030130-002/2024|EPI3721574|2024-11-22,2024.11.22
H5N1|A/mute_swan/Slovakia/Vh-8082/2024|EPI3766424|2024-10-26,2024.10.26
H5N1|A/chicken/West_Virginia/25-000049-011/2024|EPI4006290|2024-12-31,2024.12.31
H5N1|A/emu/USA/24-031663-004/2024|EPI3648919|2024-10-23,2024.10.23
H5N1|A/mute_swan/Austria/24144823-001/2024|EPI3640755|2024-11-04,2024.11.4
H5N1|A/Peregrine_Falcon/Hokkaido/20241031001/2024_(H5N1)|EPI3872742|2024-10-31,2024.10.31
H5N1|A/chicken/Slovakia/Vh-2153/2024|EPI3766448|2024-11-04,2024.11.4
H5N1|A/mute_swan/Austria/24147571/2024|EPI3721714|2024-11-08,2024.11.8
H5N1|A/canada_goose/Massachusetts/004865-023/2024|EPI3980319|2024-02-05,2024.2.5
H5N5|A/White_Tailed_Eagle/Scotland/046520/2024|EPI3625734|2024-10-08,2024.10.8
H5N1|A/turkey/USA/24-031284-024/2024|EPI3649110|2024-10-17,2024.10.17
H5N1|A/chicken/USA/24-031862-002/2024|EPI3630552|2024-10-27,2024.10.27
H5N1|A/mute_swan/Czech_Republic/17294-3/2024|EPI3680126|2024-11-08,2024.11.8
H5N1|A/red-tailed_hawk/Virginia/W24-248F/2024|EPI3571146|2024-04-17,2024.4.17
H5N1|A/american_crow/Massachusetts/014126-063/2024|EPI3980599|2024-03-31,2024.3.31
H5N1|A/chicken/Nebraska/24-037436-002/2024|EPI3901545|2024-12-12,2024.12.12
H5N5|A/Great_Black-Backed_Gull/NS/FAV-0026-4/2025|EPI4019230|2024-12-10,2024.12.10
H5N1|A/Cackling_Goose/BC/AIVPHL-2533/2024|EPI3631422|2024-10-13,2024.10.13
H5N1|A/canada_goose/Massachusetts/014126-032/2024|EPI3980751|2024-02-12,2024.2.12
H5N1|A/duck/Idaho/24-037521-001/2024|EPI3901393|2024-12-12,2024.12.12
H5N1|A/domestic_duck/Czech_Republic/18651-4/2024|EPI3761505|2024-11-27,2024.11.27
H5N1|A/chicken/Czech_Republic/1927-1/2025|EPI3978649|2025-02-02,2025.2.2
H5N1|A/turkey/Germany-NI/2024AI05108/2024|EPI4028355|2024-12-10,2024.12.10
H5N1|A/snow_goose/Kansas/W24-1007B/2024|EPI4100439|2024-12-02,2024.12.2
H5N1|A/mute_swan/Austria/24148729-001/2024|EPI3721738|2024-11-09,2024.11.9
H5N1|A/chicken/USA/24-031862-005/2024|EPI3649800|2024-10-27,2024.10.27
H5N1|A/chicken/Idaho/25-000073-001/2024|EPI4006737|2024-12-26,2024.12.26
H5N1|A/domestic_duck/Czech_Republic/14476-5/24|EPI3614422|2024-09-27,2024.9.27
H5N1|A/chicken/USA/24-031862-018/2024|EPI3649443|2024-10-27,2024.10.27
H5N5|A/Great_Skua/Scotland/043851/2024|EPI3625478|2024-09-17,2024.9.17
